,IDP_name,regressor,coef_,p_fdr,p_raw,score (R2),phenotype,confounds,Dataset,data type
0,FS_L_Thalamus-Proper,IDP (aseg),0.03390184231974631,0.9600550578153113,0.4443895498020074,0.06803641076236755,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
1,FS_L_Thalamus-Proper,hm,-0.04089253224439397,0.23183259739646678,0.1953133023066198,0.06803641076236755,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
2,FS_L_Thalamus-Proper,age,-0.2101886454962315,6.491226560711993e-07,6.491226560711993e-07,0.06803641076236755,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
3,FS_L_Thalamus-Proper,sex,-0.06377711146813013,0.12445092798317349,0.08160064827769742,0.06803641076236755,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
4,FS_L_Thalamus-Proper,FS_IntraCranial_Vol,-0.0026746751768501674,0.9736544823196165,0.9508762342076746,0.06803641076236755,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
5,FS_L_Thalamus-Proper,dummy_MGH,-0.03083842450513331,0.41519498295725965,0.3810322559848409,0.06803641076236755,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
6,FS_L_Thalamus-Proper,dummy_UCLA,0.034515547779803,0.34277046431096636,0.34277046431096636,0.06803641076236755,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
7,FS_L_Thalamus-Proper,dummy_UMinn,0.049883775164186545,0.18796511092339774,0.1754830990797882,0.06803641076236755,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
8,FS_L_Thalamus-Proper,IDP (aseg),-0.042030321878650204,0.9909476858453259,0.35521487897720605,0.019856921142978545,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
9,FS_L_Thalamus-Proper,hm,0.07958688275681453,0.019038061734717004,0.014075946715008447,0.019856921142978545,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
10,FS_L_Thalamus-Proper,age,0.020269581337096942,0.6380082829358171,0.6380082829358171,0.019856921142978545,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
11,FS_L_Thalamus-Proper,sex,-0.007180028861392361,0.8501525947507664,0.8482879671022736,0.019856921142978545,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
12,FS_L_Thalamus-Proper,FS_IntraCranial_Vol,-0.055775022056894955,0.2104709586439606,0.2104709586439606,0.019856921142978545,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
13,FS_L_Thalamus-Proper,dummy_MGH,0.04263154515478358,0.2808248608747601,0.23772669995031603,0.019856921142978545,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
14,FS_L_Thalamus-Proper,dummy_UCLA,0.061829222679946366,0.11886959556133392,0.09762411023487405,0.019856921142978545,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
15,FS_L_Thalamus-Proper,dummy_UMinn,-0.027022886600427173,0.49074794074767647,0.47407749900923424,0.019856921142978545,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
16,FS_L_Caudate,IDP (aseg),0.008052290777392735,0.9600550578153113,0.8092009506926536,0.06759946727602295,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
17,FS_L_Caudate,hm,-0.03823912655107226,0.23183259739646678,0.2231457779583117,0.06759946727602295,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
18,FS_L_Caudate,age,-0.23229057415704366,2.3447910280083306e-13,2.930988785010413e-14,0.06759946727602295,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
19,FS_L_Caudate,sex,-0.06156120147790589,0.12445092798317349,0.0936180813627816,0.06759946727602295,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
20,FS_L_Caudate,FS_IntraCranial_Vol,0.010307562418381756,0.9179960874403129,0.8032465765102739,0.06759946727602295,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
21,FS_L_Caudate,dummy_MGH,-0.029024164925706284,0.41519498295725965,0.4090688992265259,0.06759946727602295,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
22,FS_L_Caudate,dummy_UCLA,0.03638677913634703,0.34277046431096636,0.3164546713030816,0.06759946727602295,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
23,FS_L_Caudate,dummy_UMinn,0.05153865972088627,0.18796511092339774,0.1613350678309431,0.06759946727602295,neo_n,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
24,FS_L_Caudate,IDP (aseg),-0.0053223657069636455,0.9909476858453259,0.8763441634126532,0.01913210041685487,sadRawScore,"['hm', 'age', 'sex', 'FS_IntraCranial_Vol', 'dummy_MGH', 'dummy_UCLA', 'dummy_UMinn']",HCP_Aging,aseg
