,IDP_name,regressor,coef_,p_fdr,p_raw,phenotype,confounds,Dataset,score (R2),data type
0,FS_L_Thalamus-Proper,IDP (feature),0.1780662158926513,4.2674772871009736e-07,2.6671733044381085e-08,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.03413936692524222,aseg
1,FS_L_Thalamus-Proper,FS_IntraCranial_Vol,-0.15547238365798824,9.197506487979012e-06,1.1496883109973766e-06,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.03413936692524222,aseg
2,FS_L_Thalamus-Proper,IDP (feature),-0.04741565956558095,0.8150687767635731,0.14167679323057047,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.006388044457685704,aseg
3,FS_L_Thalamus-Proper,FS_IntraCranial_Vol,-0.04836340401016219,0.13389429669826858,0.13389429669826858,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.006388044457685704,aseg
4,FS_L_Caudate,IDP (feature),0.019636075482153,0.6030125017133353,0.5653242203562518,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.007610456490888762,aseg
5,FS_L_Caudate,FS_IntraCranial_Vol,-0.09530834630692289,0.005690748630232652,0.0053350768408431115,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.007610456490888762,aseg
6,FS_L_Caudate,IDP (feature),-0.00685665092997579,0.988152510339396,0.8411158479926031,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004521818247164799,aseg
7,FS_L_Caudate,FS_IntraCranial_Vol,-0.06357549505702258,0.09771035404004635,0.06326276792887087,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004521818247164799,aseg
8,FS_L_Putamen,IDP (feature),0.12361455025414349,0.00010814076800100577,6.082918200056575e-05,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.021349127299946424,aseg
9,FS_L_Putamen,FS_IntraCranial_Vol,-0.12093200996148137,0.0001973942211835025,8.739638275567785e-05,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.021349127299946424,aseg
10,FS_L_Putamen,IDP (feature),-0.0004600833546977685,0.988152510339396,0.988152510339396,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004486593588530874,aseg
11,FS_L_Putamen,FS_IntraCranial_Vol,-0.06684892506466017,0.08527686033563518,0.031136126064775782,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004486593588530874,aseg
12,FS_L_Pallidum,IDP (feature),0.11692795742175109,0.0003840068693408744,0.00026400472267185116,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.01894896679732838,aseg
13,FS_L_Pallidum,FS_IntraCranial_Vol,-0.13075809383571171,0.00013205627486752763,4.566019277296718e-05,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.01894896679732838,aseg
14,FS_L_Pallidum,IDP (feature),-0.026657425388175872,0.8150687767635731,0.40753438838178657,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005090823414352963,aseg
15,FS_L_Pallidum,FS_IntraCranial_Vol,-0.05667553346120245,0.10455355611290251,0.07841516708467688,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005090823414352963,aseg
16,FS_L_Hippocampus,IDP (feature),0.1462189599130997,5.490973808264244e-06,1.715929315082576e-06,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.027234251082647765,aseg
17,FS_L_Hippocampus,FS_IntraCranial_Vol,-0.12384138089715543,0.00013205627486752763,4.952110307532287e-05,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.027234251082647765,aseg
18,FS_L_Hippocampus,IDP (feature),-0.014543631384504046,0.9099942446102693,0.6363442101833527,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004683415886123088,aseg
19,FS_L_Hippocampus,FS_IntraCranial_Vol,-0.06317262655140271,0.08527686033563518,0.04017523626797859,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004683415886123088,aseg
20,FS_L_Amygdala,IDP (feature),0.11489306242065048,0.00027476104398473924,0.000171725652490462,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.01965027337727787,aseg
21,FS_L_Amygdala,FS_IntraCranial_Vol,-0.1150545573383691,0.00025469426648783156,0.00016816044051792822,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.01965027337727787,aseg
22,FS_L_Amygdala,IDP (feature),-0.0015735949149748116,0.988152510339396,0.9591439945582132,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004488712227431413,aseg
23,FS_L_Amygdala,FS_IntraCranial_Vol,-0.06657658283563124,0.08527686033563518,0.030377786755931613,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004488712227431413,aseg
24,FS_L_Accumbens-area,IDP (feature),0.15245731271151422,1.3177447636773345e-06,2.4707714318950025e-07,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.030445798659087586,aseg
25,FS_L_Accumbens-area,FS_IntraCranial_Vol,-0.09639226552597412,0.0012121734400076481,0.0010606517600066923,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.030445798659087586,aseg
26,FS_L_Accumbens-area,IDP (feature),-0.026540432447384188,0.8150687767635731,0.3724595264664132,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005187235756934805,aseg
27,FS_L_Accumbens-area,FS_IntraCranial_Vol,-0.06509431058820432,0.08527686033563518,0.028850077429083187,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005187235756934805,aseg
28,FS_L_VentralDC,IDP (feature),0.15095771397024946,7.409291805871021e-06,2.778484427201633e-06,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.0264367014097191,aseg
29,FS_L_VentralDC,FS_IntraCranial_Vol,-0.14614976798574397,2.264512404970276e-05,5.66128101242569e-06,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.0264367014097191,aseg
30,FS_L_VentralDC,IDP (feature),-0.035600963768701054,0.8150687767635731,0.27193242754541314,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.00554962738546938,aseg
31,FS_L_VentralDC,FS_IntraCranial_Vol,-0.05269071514516089,0.12807276491008296,0.10405912148944241,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.00554962738546938,aseg
32,FS_R_Thalamus-Proper,IDP (feature),0.17309062453377067,1.0234354022031766e-06,1.2792942527539708e-07,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.03153763720634595,aseg
33,FS_R_Thalamus-Proper,FS_IntraCranial_Vol,-0.1613374445449999,9.197506487979012e-06,8.345631807848974e-07,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.03153763720634595,aseg
34,FS_R_Thalamus-Proper,IDP (feature),-0.037982933646577045,0.8150687767635731,0.2498929998919157,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005652570078977792,aseg
35,FS_R_Thalamus-Proper,FS_IntraCranial_Vol,-0.05035132472394407,0.13389429669826858,0.1272729852161194,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005652570078977792,aseg
36,FS_R_Caudate,IDP (feature),0.011386538284446824,0.7434304779263541,0.7434304779263541,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.007414125284669781,aseg
37,FS_R_Caudate,FS_IntraCranial_Vol,-0.09151510097462755,0.008621453125741585,0.008621453125741585,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.007414125284669781,aseg
38,FS_R_Caudate,IDP (feature),0.004108162320557746,0.988152510339396,0.9061299816724651,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.00449865508711822,aseg
39,FS_R_Caudate,FS_IntraCranial_Vol,-0.06913027638823512,0.08527686033563518,0.047411399338701754,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.00449865508711822,aseg
40,FS_R_Putamen,IDP (feature),0.09729484421465083,0.0020142687996854446,0.0015616386303634044,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.016073708101941864,aseg
41,FS_R_Putamen,FS_IntraCranial_Vol,-0.1122505006863454,0.00035443176672285875,0.0002658238250421441,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.016073708101941864,aseg
42,FS_R_Putamen,IDP (feature),-0.02145193901109077,0.8659570559972951,0.4871008439984785,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004911945585692412,aseg
43,FS_R_Putamen,FS_IntraCranial_Vol,-0.06109506832171486,0.08527686033563518,0.04796823393879479,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004911945585692412,aseg
44,FS_R_Pallidum,IDP (feature),0.09777041696098293,0.002904447652399611,0.0025413916958496596,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.01529472580913449,aseg
45,FS_R_Pallidum,FS_IntraCranial_Vol,-0.1253601255482154,0.0001973942211835025,0.00011103424941572015,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.01529472580913449,aseg
46,FS_R_Pallidum,IDP (feature),-0.018293319947503182,0.9099942446102693,0.5735361432621446,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.00476558121317372,aseg
47,FS_R_Pallidum,FS_IntraCranial_Vol,-0.05953320054247307,0.09771035404004635,0.06717586840253187,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.00476558121317372,aseg
48,FS_R_Hippocampus,IDP (feature),0.13477654118051186,1.8612502126647e-05,9.196794252375184e-06,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.02445881460556576,aseg
49,FS_R_Hippocampus,FS_IntraCranial_Vol,-0.11758611350102031,0.0001973942211835025,0.0001072620152822168,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.02445881460556576,aseg
50,FS_R_Hippocampus,IDP (feature),-0.026505611311267007,0.8150687767635731,0.3857374376081728,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005149269460663075,aseg
51,FS_R_Hippocampus,FS_IntraCranial_Vol,-0.06068160315497928,0.08527686033563518,0.047216436839173204,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.005149269460663075,aseg
52,FS_R_Amygdala,IDP (feature),0.09845829406984588,0.0020142687996854446,0.0016365933997444237,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.015998517823138103,aseg
53,FS_R_Amygdala,FS_IntraCranial_Vol,-0.117423605790287,0.00025469426648783156,0.0001751023082103842,neo_n,['FS_IntraCranial_Vol'],HCP_Aging,0.015998517823138103,aseg
54,FS_R_Amygdala,IDP (feature),0.012834535621034222,0.9099942446102693,0.6824956834577021,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004633868887643722,aseg
55,FS_R_Amygdala,FS_IntraCranial_Vol,-0.07113458233550242,0.08527686033563518,0.023531158735884405,sadRawScore,['FS_IntraCranial_Vol'],HCP_Aging,0.004633868887643722,aseg
